"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting","Post engagements"
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Engagement_PhotoAlbum_02_07Aug2025,completed,101579,actions:post_engagement,0.98388427,100000,Lifetime,99941.98,1014619,685725,2025-08-24,"7-day click or 1-day view",101579
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Video_02_08Aug2025,completed,4033818,reach,99.1546396,400000,Lifetime,399971.77,8003743,4033818,2025-08-24,"7-day click or 1-day view",1286893
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Video_03_11Aug2025,completed,2441869,reach,81.8361673,200000,Lifetime,199833.2,4176934,2441869,2025-08-17,"7-day click or 1-day view",815060
2023-03-08,2026-04-08,CBL_Tiara_GoChok_Awareness_Static_Teaser_27Aug2025,completed,1349603,reach,51.86710462,70000,Lifetime,70000,1461953,1349603,2025-08-29,"7-day click or 1-day view",16556
2023-03-08,2026-04-08,CBL_Tiara_GoChok_Engagement_Static_Teaser_27Aug2025,completed,68774,actions:post_engagement,0.43621136,30000,Lifetime,30000,188710,163522,2025-08-29,"7-day click or 1-day view",68774
2023-03-08,2026-04-08,CBL_Tiara_GoChok_Launch_S_TVC_Awareness_FB_29Aug2025,completed,3553742,reach,140.69622105,500000,Lifetime,499998.07,11800488,3553742,2025-10-14,"7-day click or 1-day view",921135
2023-03-08,2026-04-08,CBL_Tiara_GoChok_Launch_S_TVC_Engagement_FB_29Aug2025,completed,1554778,actions:post_engagement,0.22510596,350000,Lifetime,349989.79,3872423,1373991,2025-10-14,"7-day click or 1-day view",1554778
2023-03-08,2026-04-08,CBL_Tiara_GoChok_Launch_S_TVC_Awareness_IG_29Aug2025,completed,1303896,reach,230.06359403,300000,Lifetime,299979,4971244,1303896,2025-10-14,"7-day click or 1-day view",420669
2023-03-08,2026-04-08,CBL_Tiara_GoChok_Launch_S_TVC_Engagement_IG_29Aug2025,completed,645815,actions:post_engagement,0.20129604,130000,Lifetime,130000,1232085,278417,2025-10-14,"7-day click or 1-day view",645815
2023-03-08,2026-04-08,CBL_Tiara_GoChok_Launch_T_TVC_Awareness_01Sep2025,completed,1056178,reach,85.21271983,90000,Lifetime,89999.8,1219196,1056178,2025-10-14,"7-day click or 1-day view",124169
2023-03-08,2026-04-08,CBL_Tiara_GoChok_Launch_T_TVC_Engagement_01Sep2025,completed,108695,actions:post_engagement,0.27598749,30000,Lifetime,29998.46,253859,122720,2025-10-14,"7-day click or 1-day view",108695
2023-03-08,2026-04-08,"JM | Rollo | TVC | Awareness | Oct 2025",completed,1040657,video_thruplay_watched_actions,0.63421473,"Using ad set budget",0,660000,3879122,785544,2025-11-13,"7-day click or 1-day view",1576832
2023-03-08,2026-04-08,"JM | Rollo | TVC |  Engagements | Oct 2025",completed,371347,actions:post_engagement,0.24234737,"Using ad set budget",0,89994.97,911041,418798,2025-11-13,"7-day click or 1-day view",371347
2023-03-08,2026-04-08,"JM | TIARA | TVC | ThruPlays | Oct 2025",not_delivering,2473443,video_thruplay_watched_actions,0.26682913,"Using ad set budget",0,659986.64,5632358,1928134,2025-11-16,"7-day click or 1-day view",3023934
2023-03-08,2026-04-08,"Tiara Rasa Hara Yathra Kandy Carousel Post - Aug 06",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,"7-day click or 1-day view",
2023-03-08,2026-04-08,"JM | TIARA | TVC | Engagement | Oct 2025",not_delivering,501823,actions:post_engagement,0.17933742,"Using ad set budget",0,89995.64,1257271,701587,2025-11-16,"7-day click or 1-day view",501823
2023-03-08,2026-04-08,"JM | Tiara | Engagement | Retainer",not_delivering,56995,actions:post_engagement,3.06109185,"Using ad set budget",0,174466.93,548900,177876,2026-04-02,"7-day click or 1-day view",56995
