"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2073,actions:offsite_conversion.fb_pixel_view_content,12.05981669,25000,Lifetime,25000,246933,114953,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2336,actions:offsite_conversion.fb_pixel_view_content,10.70205479,25000,Lifetime,25000,281307,141816,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2063,actions:offsite_conversion.fb_pixel_view_content,12.11827436,25000,Lifetime,25000,279080,114637,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1934,actions:offsite_conversion.fb_pixel_view_content,12.92652534,25000,Lifetime,24999.9,254886,68980,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,484629,actions:post_engagement,0.1031717,50000,Lifetime,50000,1003268,421554,2023-05-26,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,9710,actions:offsite_conversion.fb_pixel_view_content,7.72399588,75000,Lifetime,75000,1150006,342282,2023-05-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1454,actions:offsite_conversion.fb_pixel_view_content,10.31636864,15000,Lifetime,15000,197687,111495,2023-05-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 2"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,947,actions:offsite_conversion.fb_pixel_view_content,15.83949314,15000,Lifetime,15000,217050,158130,2023-05-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 3"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1233,actions:offsite_conversion.fb_pixel_view_content,12.16545012,15000,Lifetime,15000,200033,142027,2023-05-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 4"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1000,actions:offsite_conversion.fb_pixel_view_content,15,15000,Lifetime,15000,187922,136765,2023-05-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 5"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,3928,actions:offsite_conversion.fb_pixel_view_content,7.63747454,30000,Lifetime,30000,355336,182088,2023-05-04,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1373,actions:post_engagement,10.92498179,15000,Lifetime,15000,136013,82086,2023-05-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1622,actions:post_engagement,9.24784217,15000,Lifetime,15000,113213,74881,2023-05-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1484,actions:post_engagement,10.10781671,15000,Lifetime,15000,88566,62367,2023-05-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"6th May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,647,actions:offsite_conversion.fb_pixel_view_content,19.31993818,12500,Lifetime,12500,166449,120872,2023-05-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,485,actions:offsite_conversion.fb_pixel_view_content,25.77319588,12500,Lifetime,12500,87842,56412,2023-05-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"21st May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,616,actions:offsite_conversion.fb_pixel_view_content,20.29220779,12500,Lifetime,12500,91800,55702,2023-05-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"28th May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,827,actions:offsite_conversion.fb_pixel_view_content,15.11487304,12500,Lifetime,12500,109889,62404,2023-05-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"20th May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,829,actions:offsite_conversion.fb_pixel_view_content,15.07840772,12500,Lifetime,12500,114564,75829,2023-05-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"27th May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,656,actions:offsite_conversion.fb_pixel_view_content,19.05487805,12500,Lifetime,12500,119383,72079,2023-05-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"14th May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,645,actions:offsite_conversion.fb_pixel_view_content,19.37984496,12500,Lifetime,12500,130884,84064,2023-05-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"21st May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,604,actions:offsite_conversion.fb_pixel_view_content,20.69536424,12500,Lifetime,12500,137935,95297,2023-05-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"28th May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,409,actions:offsite_conversion.fb_pixel_view_content,30.56234719,12500,Lifetime,12500,57946,39644,2023-05-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"13th May"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,7691,actions:post_engagement,3.90066311,30000,Lifetime,30000,297427,120054,2023-05-31,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
