"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2023-03-08,2026-04-08,"6th May",completed,1484,actions:post_engagement,10.10781671,15000,Lifetime,15000,88566,62367,2023-05-06,2023-05-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,647,actions:offsite_conversion.fb_pixel_view_content,19.31993818,12500,Lifetime,12500,166449,120872,2023-05-14,2023-05-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"21st May",completed,485,actions:offsite_conversion.fb_pixel_view_content,25.77319588,12500,Lifetime,12500,87842,56412,2023-05-21,2023-05-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"28th May",completed,616,actions:offsite_conversion.fb_pixel_view_content,20.29220779,12500,Lifetime,12500,91800,55702,2023-05-28,2023-05-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"14th May",completed,656,actions:offsite_conversion.fb_pixel_view_content,19.05487805,12500,Lifetime,12500,119383,72079,2023-05-14,2023-05-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"21st May",completed,645,actions:offsite_conversion.fb_pixel_view_content,19.37984496,12500,Lifetime,12500,130884,84064,2023-05-21,2023-05-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"28th May",completed,604,actions:offsite_conversion.fb_pixel_view_content,20.69536424,12500,Lifetime,12500,137935,95297,2023-05-28,2023-05-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"13th May",completed,409,actions:offsite_conversion.fb_pixel_view_content,30.56234719,12500,Lifetime,12500,57946,39644,2023-05-13,2023-05-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"20th May",completed,827,actions:offsite_conversion.fb_pixel_view_content,15.11487304,12500,Lifetime,12500,109889,62404,2023-05-20,2023-05-19,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"27th May",completed,829,actions:offsite_conversion.fb_pixel_view_content,15.07840772,12500,Lifetime,12500,114564,75829,2023-05-27,2023-05-26,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,7691,actions:post_engagement,3.90066311,30000,Lifetime,30000,297427,120054,2023-05-31,2023-05-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"8th May",completed,1886,actions:offsite_conversion.fb_pixel_view_content,7.9533404,15000,Lifetime,15000,155757,60171,2023-05-12,2023-05-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,760,actions:post_engagement,13.15789474,10000,Lifetime,10000,72855,38196,2023-05-10,2023-05-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"week 3",completed,890,actions:post_engagement,11.23595506,10000,Lifetime,10000,56108,26406,2023-05-17,2023-05-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"week 4",completed,799,actions:post_engagement,12.51564456,10000,Lifetime,10000,48615,26005,2023-05-24,2023-05-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
