"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting"
2023-03-08,2026-04-08,"February - Pay Day Sale",completed,84,actions:offsite_conversion.fb_pixel_purchase,118.22321429,"Using ad set budget",0,9930.75,25213,5026,2026-02-28,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"March - Mega Pola [2026]",completed,,,,"Using ad set budget",0,22000,67385,25252,2026-03-30,"Multiple attribution settings"
2023-03-08,2026-04-08,"March - Glo Tuesday",completed,169,actions:offsite_conversion.fb_pixel_purchase,322.05633136,"Using ad set budget",0,54427.52,215904,55331,2026-03-26,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"April - Bank Promo 2026",active,,,,"Using ad set budget",0,56750.3,188227,57356,2026-04-08,"Multiple attribution settings"
2023-03-08,2026-04-08,"April - Mega Pola [2026]",recently_completed,24,actions:offsite_conversion.fb_pixel_purchase,601.90833333,"Using ad set budget",0,14445.8,34908,11446,2026-04-06,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"Seylan Bank Feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-24,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Delivery Free Feb 23",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Sampath Fresh Feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-27,"7-day click or 1-day view"
2023-03-08,2026-04-08,"DFCC Feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-09,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HNB Feb",inactive,,,,"Using ad set budget",0,0,0,0,2023-02-24,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Weekend Fresh 10th Feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-12,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HNB Feb",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-24,"7-day click or 1-day view"
2023-03-08,2026-04-08,"NDB SLO",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-11,"7-day click or 1-day view"
2023-03-08,2026-04-08,"SLO 11th",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-03-11,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Tea Feb loyalty",not_delivering,909,actions:offsite_conversion.fb_pixel_view_content,8.01282728,"Using ad set budget",0,7283.66,112488,31439,2023-03-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Beverages Feb",not_delivering,977,actions:offsite_conversion.fb_pixel_view_content,7.44663255,"Using ad set budget",0,7275.36,114723,46439,2023-03-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Chilled & Frozen Feb",not_delivering,1263,actions:offsite_conversion.fb_pixel_view_content,5.67356295,"Using ad set budget",0,7165.71,116772,62580,2023-03-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Grocery Feb",not_delivering,928,actions:offsite_conversion.fb_pixel_view_content,8.06252155,"Using ad set budget",0,7482.02,89263,27718,2023-03-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Grocery 2 Feb",not_delivering,1217,actions:offsite_conversion.fb_pixel_view_content,6.04119145,"Using ad set budget",0,7352.13,125701,62770,2023-03-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Grocery 3 Feb",not_delivering,974,actions:offsite_conversion.fb_pixel_view_content,7.62854209,"Using ad set budget",0,7430.2,115088,26687,2023-03-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Baby needs Feb",not_delivering,967,actions:offsite_conversion.fb_pixel_view_content,7.6955636,"Using ad set budget",0,7441.61,141344,68162,2023-03-15,"7-day click or 1-day view"
2023-03-08,2026-04-08,"HSBC Valentine's Offer 23",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-14,"7-day click or 1-day view"
2023-03-08,2026-04-08,"DOUBLE POINTS",not_delivering,,,,"Using ad set budget",0,0,0,0,2023-02-14,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Cleaning consumables Feb",not_delivering,977,actions:offsite_conversion.fb_pixel_view_content,7.58194473,"Using ad set budget",0,7407.56,110531,34257,2023-03-15,"7-day click or 1-day view"
