"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit","Post engagements"
2023-04-11,2026-04-08,"Christmas influencer giveaway - IG",inactive,176635,actions:post_engagement,0.84707085,150000,Lifetime,149622.36,808202,308521,2024-12-29,2024-12-18,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-12-25T11:57:13+0530,176635
2023-04-11,2026-04-08,"Aug product 01 - FB",inactive,3026,actions:post_engagement,2.4785195,7500,Lifetime,7500,53705,43437,2024-09-12,2024-09-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-09-10T14:32:43+0530,3026
2023-04-11,2026-04-08,"Aug product 01 - IG",inactive,1566,actions:post_engagement,4.78922095,7500,Lifetime,7499.92,17032,13116,2024-09-12,2024-09-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,1566
2023-04-11,2026-04-08,"Rollo Giveaway - Influencer Kavya",inactive,52179,actions:link_click,1.50063129,430000,Lifetime,78301.44,661923,316369,2024-10-06,2024-09-19,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,106990
2023-04-11,2026-04-08,"Rollo Giveaway - Influencer Ramod",inactive,29294,actions:link_click,2.04539633,60000,Lifetime,59917.84,431415,181037,2024-10-06,2024-09-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,47905
2023-04-11,2026-04-08,"Rollo Giveaway - Influencer Sanulya",inactive,32240,actions:link_click,1.85879156,60000,Lifetime,59927.44,503278,216554,2024-10-06,2024-09-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,75557
2023-04-11,2026-04-08,"Rollo Giveaway announcement post",inactive,4138,actions:link_click,9.66650556,40000,Lifetime,40000,394958,188604,2024-10-15,2024-10-04,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-04T11:21:48+0530,4269
2023-04-11,2026-04-08,"Rollo Giveaway announcement post - Custom",inactive,855,actions:link_click,11.69590643,10000,Lifetime,10000,70895,36755,2024-10-15,2024-10-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-10T16:19:21+0530,908
2023-04-11,2026-04-08,"Rollo Giveaway - Influencer Rehana",inactive,31389,actions:link_click,1.91149766,60000,Lifetime,60000,394434,197208,2024-10-15,2024-10-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-10T17:14:18+0530,56113
2023-04-11,2026-04-08,"Sep - Moment 4 - IG",inactive,120274,reach,41.57174452,5000,Lifetime,5000,123662,120274,2024-10-16,2024-10-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-14T17:15:18+0530,53
2023-04-11,2026-04-08,"Sep - Cakery 2 - FB",inactive,149738,reach,33.39165743,5000,Lifetime,5000,151063,149738,2024-10-23,2024-10-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-21T10:46:06+0530,128
2023-04-11,2026-04-08,"Sep - Cakery 2 - IG",inactive,115697,reach,43.21339361,5000,Lifetime,4999.66,118141,115697,2024-10-23,2024-10-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-21T11:04:14+0530,53
2023-04-11,2026-04-08,"July - Cakery 04 - FB",inactive,146072,reach,34.22969494,5000,Lifetime,5000,152051,146072,2024-10-23,2024-10-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,120
2023-04-11,2026-04-08,"July - Cakery 04 - IG",inactive,115240,reach,43.3877126,5000,Lifetime,5000,119016,115240,2024-10-23,2024-10-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-21T11:07:56+0530,58
2023-04-11,2026-04-08,"Sep - Product 1 - FB",inactive,110870,reach,33.82339677,3750,Lifetime,3750,114119,110870,2024-10-22,2024-10-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,27
2023-04-11,2026-04-08,"Sep - Product 1 - IG",inactive,91839,reach,40.83232614,3750,Lifetime,3750,92064,91839,2024-10-22,2024-10-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-21T11:02:46+0530,39
2023-04-11,2026-04-08,"Oct - Product 05 - FB",inactive,126450,reach,39.54132068,5000,Lifetime,5000,130671,126450,2024-10-25,2024-10-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,47
2023-04-11,2026-04-08,"Oct - Product 05 - IG",inactive,104564,reach,47.81760453,5000,Lifetime,5000,105031,104564,2024-10-25,2024-10-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,39
2023-04-11,2026-04-08,"Sep -  Moment 02 - FB",inactive,129399,reach,38.64017496,5000,Lifetime,5000,130725,129399,2024-10-25,2024-10-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,59
2023-04-11,2026-04-08,"Sep -  Moment 02 - IG",inactive,102295,reach,48.87824429,5000,Lifetime,5000,103591,102295,2024-10-25,2024-10-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,47
2023-04-11,2026-04-08,"July - Moment 3 - FB",inactive,4967,reach,38.04308436,3750,Lifetime,188.96,5095,4967,2024-10-27,2024-10-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-24T17:07:18+0530,3
2023-04-11,2026-04-08,"July - Moment 3 - IG",inactive,3878,reach,43.54306343,3750,Lifetime,168.86,3918,3878,2024-10-27,2024-10-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-24T17:10:27+0530,
2023-04-11,2026-04-08,"Go chok TVC - FB",inactive,3992758,reach,75.13603379,300000,Lifetime,300000,6045611,3992758,2024-11-07,2024-10-25,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,478396
2023-04-11,2026-04-08,"Go chok TVC - IG",inactive,1122224,reach,178.09655648,200000,Lifetime,199864.23,1842163,1122224,2024-11-07,2024-10-25,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,148774
2023-04-11,2026-04-08,"oct -  product 3 - FB",inactive,133230,reach,37.52878481,5000,Lifetime,4999.96,134151,133230,2024-11-01,2024-10-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-30T12:06:51+0530,80
2023-04-11,2026-04-08,"oct -  product 3 - IG",inactive,114685,reach,43.5976806,5000,Lifetime,5000,116324,114685,2024-11-01,2024-10-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,34
2023-04-11,2026-04-08,"Rollo TVC - FB",inactive,1239753,video_thruplay_watched_actions,0.71788493,890000,Lifetime,890000,9119105,1602106,2024-09-30,2024-09-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,2659729
2023-04-11,2026-04-08,"Aug product 03 - FB",inactive,151123,reach,33.08563223,5000,Lifetime,5000,151123,151123,2024-09-13,2024-09-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,91
2023-04-11,2026-04-08,"Aug product 03 - IG",inactive,112955,reach,44.26541543,5000,Lifetime,5000,112955,112955,2024-09-13,2024-09-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,49
2023-04-11,2026-04-08,"July product 01 - FB",inactive,142598,reach,35.06360538,5000,Lifetime,5000,142598,142598,2024-09-14,2024-09-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,14252
2023-04-11,2026-04-08,"July product 01 - IG",inactive,93582,reach,53.42843709,5000,Lifetime,4999.94,95696,93582,2024-09-14,2024-09-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-09-12T13:54:31+0530,2800
2023-04-11,2026-04-08,"April cakery 03 - FB",inactive,141233,reach,35.40249092,5000,Lifetime,5000,141895,141233,2024-09-14,2024-09-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,71
2023-04-11,2026-04-08,"April cakery 03 - IG",inactive,103267,reach,48.41817812,5000,Lifetime,5000,103267,103267,2024-09-14,2024-09-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,34
2023-04-11,2026-04-08,"Rollo static Agile content - FB",inactive,2533,actions:post_engagement,3.94788788,10000,Lifetime,10000,29594,21685,2024-09-14,2024-09-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,2533
2023-04-11,2026-04-08,"Rollo static Agile content - IG",inactive,2210,actions:post_engagement,4.52476471,10000,Lifetime,9999.73,18865,14577,2024-09-14,2024-09-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,2210
2023-04-11,2026-04-08,"may cakery 05 - FB",inactive,135062,reach,37.02003524,5000,Lifetime,5000,135062,135062,2024-09-16,2024-09-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,74
2023-04-11,2026-04-08,"may cakery 05 - IG",inactive,96090,reach,52.03455094,5000,Lifetime,5000,97007,96090,2024-09-16,2024-09-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,43
2023-04-11,2026-04-08,"august moment 02 - FB",inactive,125945,reach,39.69986899,5000,Lifetime,5000,127378,125945,2024-09-16,2024-09-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,80
2023-04-11,2026-04-08,"august moment 02 - IG",inactive,93440,reach,53.51027397,5000,Lifetime,5000,93839,93440,2024-09-16,2024-09-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,68
2023-04-11,2026-04-08,"August moment 05 - FB",inactive,141595,reach,35.31198136,5000,Lifetime,5000,147679,141595,2024-09-17,2024-09-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,86
2023-04-11,2026-04-08,"August moment 05 - IG",inactive,97928,reach,51.0579201,5000,Lifetime,5000,99527,97928,2024-09-17,2024-09-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,34
2023-04-11,2026-04-08,"May cakery 04 - FB",inactive,81527,reach,40.21943651,5000,Lifetime,3278.97,85036,81527,2024-09-17,2024-09-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,47
2023-04-11,2026-04-08,"May cakery 04 - IG",inactive,97669,reach,51.14980188,5000,Lifetime,4995.75,97669,97669,2024-09-17,2024-09-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,69
2023-04-11,2026-04-08,"Rollo static post 01 - IG",inactive,231029,reach,54.10576161,12500,Lifetime,12500,240627,231029,2024-09-29,2024-09-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,102
2023-04-11,2026-04-08,"Rollo static post 01 - FB",inactive,404077,reach,30.93469809,12500,Lifetime,12500,404403,404077,2024-09-29,2024-09-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,234
2023-04-11,2026-04-08,"Rollo static post 02 - FB",inactive,409464,reach,30.52771428,12500,Lifetime,12500,409464,409464,2024-09-29,2024-09-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,277
2023-04-11,2026-04-08,"Rollo static post 02 - IG",inactive,248974,reach,50.20604561,12500,Lifetime,12500,253060,248974,2024-09-29,2024-09-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,87
2023-04-11,2026-04-08,"Rollo GIF post 01 - FB",inactive,428374,reach,32.09811987,13750,Lifetime,13750,428374,428374,2024-09-30,2024-09-25,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,21152
2023-04-11,2026-04-08,"Rollo GIF post 01 - IG",inactive,250948,reach,54.79222787,13750,Lifetime,13750,256899,250948,2024-09-30,2024-09-25,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,10105
2023-04-11,2026-04-08,"July product 03 - IG",inactive,99990,reach,50.0050005,5000,Lifetime,5000,103124,99990,2024-09-29,2024-09-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-09-27T18:30:40+0530,2688
2023-04-11,2026-04-08,"July product 03 - FB",inactive,146864,reach,34.04510295,5000,Lifetime,5000,147891,146864,2024-09-29,2024-09-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-09-27T18:30:39+0530,5577
2023-04-11,2026-04-08,"March cakery 01 - FB",inactive,171518,reach,29.15145932,5000,Lifetime,5000,177801,171518,2024-08-04,2024-08-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-08-01T14:16:44+0530,296
2023-04-11,2026-04-08,"March cakery 01 - IG",inactive,121184,reach,41.25957222,5000,Lifetime,5000,125919,121184,2024-08-04,2024-08-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,36
2023-04-11,2026-04-08,"June cakery 4 - FB",inactive,177362,reach,28.19093154,5000,Lifetime,5000,183484,177362,2024-08-04,2024-08-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,367
2023-04-11,2026-04-08,"June cakery 4 - IG",inactive,121265,reach,41.23201253,5000,Lifetime,5000,125340,121265,2024-08-04,2024-08-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,111
2023-04-11,2026-04-08,"July moment 02 - FB",inactive,186748,reach,26.77404845,5000,Lifetime,5000,186748,186748,2024-08-07,2024-08-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,374
2023-04-11,2026-04-08,"July moment 02 - IG",inactive,121496,reach,41.15361823,5000,Lifetime,5000,125595,121496,2024-08-07,2024-08-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,183
2023-04-11,2026-04-08,"March moments 4 - FB",inactive,151527,reach,32.9974196,5000,Lifetime,5000,151570,151527,2024-08-11,2024-08-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,95
2023-04-11,2026-04-08,"March moments 4 - IG",inactive,113665,reach,43.98891479,5000,Lifetime,5000,120411,113665,2024-08-11,2024-08-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,45
2023-04-11,2026-04-08,"may product 2 - FB",inactive,169162,reach,29.55746562,5000,Lifetime,5000,169162,169162,2024-08-12,2024-08-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,118
2023-04-11,2026-04-08,"may product 2 - IG",inactive,113874,reach,43.90817922,5000,Lifetime,5000,115862,113874,2024-08-12,2024-08-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,54
